Ticket_ID,Ticket_Text,Category,Priority,Channel,Customer_Tier
TKT-10001,Attention: Requesting quote for adding 5 additional user seats to team plan next month Appreciate your assistance.,Billing & Payments,Low,Email,SMB
TKT-10002,"Dear Customer Service, Integration with Slack bot stopped sending automated channel alerts",Technical Issues,Medium,Email,Enterprise
TKT-10003,"Hey, How many days before renewal do we need to submit a cancellation notice? Please look into this as soon as possible.",Cancellation & Refunds,Low,Web Portal,SMB
TKT-10004,Requesting breakdown of usage-based tier charges for bandwidth overages last month,Billing & Payments,Medium,Web Portal,SMB
TKT-10005,"Greetings, Requesting quote for adding 5 additional user seats to team plan next month Let me know the resolution.",Billing & Payments,Low,Email,Enterprise
TKT-10006,"Dear Customer Service, Suspected account takeover received password reset email that was not initiated by us Please look into this as soon as possible.",Account Access,High,In-App Chat,Free Tier
TKT-10007,"Greetings, Fraudulent unauthorized transactions detected on our billing card linked to this account Let me know the resolution.",Billing & Payments,High,Web Portal,Enterprise
TKT-10008,"Hi there, How do we export all our workspace data before closing our company account? Awaiting your quick reply.",Cancellation & Refunds,Medium,Email,SMB
TKT-10009,"Hi there, Typo in user settings documentation link points to older version 2.1 guide Thanks for your prompt help.",Technical Issues,Low,In-App Chat,SMB
TKT-10010,"FYI, Customer onboarding failed completely demanding full refund and data wipe immediately Awaiting your quick reply.",Cancellation & Refunds,High,Web Portal,SMB
TKT-10011,"FYI, Typo in user settings documentation link points to older version 2.1 guide Let me know the resolution.",Technical Issues,Low,Email,Enterprise
TKT-10012,"Greetings, Credit card was double charged twice for annual subscription total $2,400 please reverse immediately Please look into this as soon as possible.",Billing & Payments,High,Email,Enterprise
TKT-10013,Attention: Minor CSS layout glitch on safari browser when viewing navigation menu This is impacting our business operations.,Technical Issues,Low,Email,SMB
TKT-10014,"Greetings, How do we export all our workspace data before closing our company account? Please look into this as soon as possible.",Cancellation & Refunds,Medium,Email,SMB
TKT-10015,Urgent assistance needed: Integration with Slack bot stopped sending automated channel alerts Let me know the resolution.,Technical Issues,Medium,Email,Free Tier
TKT-10016,"Hello support team, Account suspended due to false payment failure despite valid corporate credit card on file Appreciate your assistance.",Billing & Payments,High,Email,SMB
TKT-10017,Coupon promo code DISCOUNT20 was not applied during renewal checkout Let me know the resolution.,Billing & Payments,Medium,Web Portal,Enterprise
TKT-10018,"Hey, Google workspace OAuth single sign-on throws redirect uri mismatch error Regards.",Account Access,Medium,Email,SMB
TKT-10019,Urgent assistance needed: Feature request: can you add a dark theme option for the PDF export tool? Awaiting your quick reply.,Technical Issues,Low,In-App Chat,SMB
TKT-10020,"Dear Customer Service, Fraudulent unauthorized transactions detected on our billing card linked to this account Awaiting your quick reply.",Billing & Payments,High,In-App Chat,SMB
TKT-10021,"Hello support team, Web application loading very slowly dashboard takes over 30 seconds to render charts Please look into this as soon as possible.",Technical Issues,Medium,Email,Enterprise
TKT-10022,"FYI, Requesting breakdown of usage-based tier charges for bandwidth overages last month Awaiting your quick reply.",Billing & Payments,Medium,Web Portal,Enterprise
TKT-10023,"Dear Customer Service, Where can I download past invoices from the billing settings page? Please look into this as soon as possible.",Billing & Payments,Low,Web Portal,Enterprise
TKT-10024,"Hello support team, Webhook notifications are delayed by approximately 45 minutes since latest release Appreciate your assistance.",Technical Issues,Medium,Web Portal,Enterprise
TKT-10025,"Hello support team, Invited team member receives invalid invitation token error when clicking join link Please look into this as soon as possible.",Account Access,Medium,Web Portal,Enterprise
TKT-10026,"Greetings, What payment currencies do you support for international bank cards? This is impacting our business operations.",Billing & Payments,Low,Web Portal,Enterprise
TKT-10027,Help please! Does the platform support automated CSV data export via scheduled SFTP? Awaiting your quick reply.,Product Inquiries,Medium,Email,Enterprise
TKT-10028,Urgent assistance needed: How many concurrent API requests are allowed on the standard developer tier? Let me know the resolution.,Product Inquiries,Medium,Web Portal,Enterprise
TKT-10029,"Greetings, How to change notification preferences for email digests? Let me know the resolution.",Account Access,Low,In-App Chat,SMB
TKT-10030,"FYI, Requesting quote for adding 5 additional user seats to team plan next month Please look into this as soon as possible.",Billing & Payments,Low,Web Portal,SMB
TKT-10031,"FYI, Suspected account takeover received password reset email that was not initiated by us Let me know the resolution.",Account Access,High,Email,Enterprise
TKT-10032,"Greetings, Is there an RSS feed available for platform status announcements? Please look into this as soon as possible.",Technical Issues,Low,Web Portal,SMB
TKT-10033,Attention: Is there a free trial period available for the analytics add-on module? Let me know the resolution.,Product Inquiries,Low,Web Portal,Enterprise
TKT-10034,"FYI, Customer requested partial refund for unused seat licenses from previous quarter This is impacting our business operations.",Cancellation & Refunds,Medium,In-App Chat,Enterprise
TKT-10035,"FYI, Requesting breakdown of usage-based tier charges for bandwidth overages last month Let me know the resolution.",Billing & Payments,Medium,Email,Enterprise
TKT-10036,"Hello support team, Requesting quote for adding 5 additional user seats to team plan next month",Billing & Payments,Low,Email,Enterprise
TKT-10037,Urgent assistance needed: Payment receipt not delivered to finance accounting team email address Awaiting your quick reply.,Billing & Payments,Medium,In-App Chat,SMB
TKT-10038,"Hey, Need to update billing address and GST identification number on upcoming monthly invoice Let me know the resolution.",Billing & Payments,Medium,Email,Enterprise
TKT-10039,"Hey, Web application loading very slowly dashboard takes over 30 seconds to render charts Awaiting your quick reply.",Technical Issues,Medium,Web Portal,Enterprise
TKT-10040,Urgent assistance needed: Please ensure auto-renewal is turned off for our yearly subscription Let me know the resolution.,Cancellation & Refunds,Medium,In-App Chat,Enterprise
TKT-10041,"Hi there, Requesting quote for adding 5 additional user seats to team plan next month Please look into this as soon as possible.",Billing & Payments,Low,Web Portal,Free Tier
TKT-10042,"Help please! Subscription renewed without 30-day notice demanding immediate full refund of $1,800 Regards.",Cancellation & Refunds,High,Web Portal,SMB
TKT-10043,"FYI, Is there a free trial period available for the analytics add-on module? This is impacting our business operations.",Product Inquiries,Low,Email,SMB
TKT-10044,"FYI, Coupon promo code DISCOUNT20 was not applied during renewal checkout",Billing & Payments,Medium,In-App Chat,SMB
TKT-10045,Attention: Where can I download past invoices from the billing settings page?,Billing & Payments,Low,Web Portal,Enterprise
TKT-10046,"Hi there, Subscription renewed without 30-day notice demanding immediate full refund of $1,800",Cancellation & Refunds,High,Email,Enterprise
TKT-10047,Help please! Payment receipt not delivered to finance accounting team email address Thanks for your prompt help.,Billing & Payments,Medium,In-App Chat,Enterprise
TKT-10048,"Hey, Webhook notifications are delayed by approximately 45 minutes since latest release Please look into this as soon as possible.",Technical Issues,Medium,Email,Enterprise
TKT-10049,"Dear Customer Service, Please ensure auto-renewal is turned off for our yearly subscription Awaiting your quick reply.",Cancellation & Refunds,Medium,Email,SMB
TKT-10050,Can you share best practices for organizing workspaces across departments? Awaiting your quick reply.,Product Inquiries,Low,Web Portal,SMB
TKT-10051,"Hey, Will our annual subscription automatically renew next quarter? Thanks for your prompt help.",Billing & Payments,Low,In-App Chat,Free Tier
TKT-10052,Cannot change primary email address in profile settings page throws permission error Please look into this as soon as possible.,Account Access,Medium,Web Portal,Enterprise
TKT-10053,"Hey, Data pipeline corrupted our daily sync failed for enterprise client accounts Please look into this as soon as possible.",Technical Issues,High,In-App Chat,SMB
TKT-10054,Need to revoke access for former employee immediately and transfer project ownership,Account Access,Medium,Web Portal,Enterprise
TKT-10055,"Dear Customer Service, Credit card was double charged twice for annual subscription total $2,400 please reverse immediately Appreciate your assistance.",Billing & Payments,High,Web Portal,Enterprise
TKT-10056,"Hey, Need to update billing address and GST identification number on upcoming monthly invoice Regards.",Billing & Payments,Medium,Web Portal,Free Tier
TKT-10057,Please cancel our monthly recurring addon package before next billing cycle begins This is impacting our business operations.,Cancellation & Refunds,Medium,Email,Free Tier
TKT-10058,"Hello support team, Suspected account takeover received password reset email that was not initiated by us Let me know the resolution.",Account Access,High,Email,Free Tier
TKT-10059,"Hello support team, Google workspace OAuth single sign-on throws redirect uri mismatch error Please look into this as soon as possible.",Account Access,Medium,Email,Free Tier
TKT-10060,"Hi there, Can one user be a member of multiple organization workspaces? Appreciate your assistance.",Account Access,Low,Web Portal,SMB
TKT-10061,Cannot upload CSV file larger than 5MB error says file format unsupported Thanks for your prompt help.,Technical Issues,Medium,Web Portal,Enterprise
TKT-10062,Attention: Coupon promo code DISCOUNT20 was not applied during renewal checkout Let me know the resolution.,Billing & Payments,Medium,Web Portal,Free Tier
TKT-10063,"Hello support team, Need to revoke access for former employee immediately and transfer project ownership This is impacting our business operations.",Account Access,Medium,Web Portal,SMB
TKT-10064,"Hello support team, How many concurrent API requests are allowed on the standard developer tier? Regards.",Product Inquiries,Medium,Email,SMB
TKT-10065,"FYI, How do I clear browser cache to view updated profile picture? Awaiting your quick reply.",Technical Issues,Low,Web Portal,Enterprise
TKT-10066,"FYI, Feature request: can you add a dark theme option for the PDF export tool? Regards.",Technical Issues,Low,In-App Chat,SMB
TKT-10067,"Hey, Payment receipt not delivered to finance accounting team email address This is impacting our business operations.",Billing & Payments,Medium,Email,SMB
TKT-10068,"Greetings, Minor CSS layout glitch on safari browser when viewing navigation menu Appreciate your assistance.",Technical Issues,Low,In-App Chat,Free Tier
TKT-10069,"Greetings, Service SLA breach below 99% uptime requesting contract termination and penalty refund Appreciate your assistance.",Cancellation & Refunds,High,Web Portal,Enterprise
TKT-10070,"Hello support team, How do I clear browser cache to view updated profile picture? Appreciate your assistance.",Technical Issues,Low,Email,SMB
